id,x,y,BIO4,BIO8,BI12,BI18,ALTI,BIO1,BI15,BIO2
1,25.726,70.995,7821.5,78.33333333,530.8333333,160.4444444,158.9091854,-19.22222222,20.5,80.94444444
2,25.412,71.07,7905.444444,80.11111111,552.2222222,156,138.8362126,-18,18,80.77777778
3,25.74,71.092,7694,79.14285714,532.3333333,157.3809524,99.11324978,-16.95238095,19.61904762,80.0952381
4,24.019,70.973,8272.384615,-64.61538462,722.0769231,149.9230769,27.9507726,-17.23076923,21.53846154,79.38461538
5,23.694,70.667,8539.555556,-70.55555556,677.6666667,155.8888889,5.650290966,-21.11111111,18.33333333,80.33333333
6,23.904,70.65,8611.16,-74.16,680.36,159.84,262.4176127,-24.52,17.56,81.24
7,23.886,70.554,8710.416667,-76.08333333,666,161.5833333,278.9973297,-25.5,16.58333333,81.75
8,22.201,70.632,7944.083333,-59.41666667,597.75,147.5833333,42.43078359,-13.75,19,72.83333333
9,22.621,70.649,8172.428571,-65.78571429,623.1428571,152.2857143,177.5512085,-18.75,18,75.32142857
10,23.033,70.665,8339.551724,-67.75862069,644.862069,152.7241379,167.2436485,-19.68965517,18.13793103,77.37931034
11,23.17,70.776,8281.428571,-67,661.8571429,151.5714286,75.61414528,-19.14285714,18.57142857,77.42857143
12,23.371,70.792,8327,-65.28571429,668.7142857,149.7142857,12.30756362,-17.14285714,19.28571429,78
13,22.265,70.533,8081.7,-61.8,593.8,149.9,135.2417903,-15.1,18.4,74.1
14,22.597,70.551,8262.421053,-67.31578947,616.3157895,153.7368421,241.3405914,-19.47368421,17.73684211,76
15,23.122,70.479,8569.1,-76.7,649.6,163.1,241.9026845,-27.4,16.7,79
16,23.409,70.397,8745.5,-81.77777778,658.1111111,168.3333333,268.4647354,-30.88888889,15.88888889,80.88888889
17,23.455,70.499,8646.133333,-74.26666667,653.2,159.6666667,240.9100087,-24.2,16.93333333,80.33333333
18,23.111,70.375,8661.764706,-84.02941176,654.7941176,171.3235294,291.5206477,-33.61764706,15.82352941,79.52941176
19,22.686,70.272,8590.142857,-81.85714286,628.4285714,170.7142857,-7.822873533,-32.14285714,16.57142857,78.28571429
20,22.622,70.332,8480.05,-76,615.5,163.75,266.6184654,-26.75,17.1,77.35
21,19.152,70.188,5878.090909,-24.54545455,891.5454545,182,74.94489956,8.272727273,25.81818182,53.90909091
22,19.798,70.18,6464.5,-31.9,732.7,165.2,81.59460068,4.9,23.9,59.2
23,19.876,70.097,6595.1875,-39.875,731.0625,171.5,224.9549014,-2.375,22.5,60.125
24,19.62,70.223,6260.9,-32.7,790.8,173.3,102.3305142,2.6,23.9,57.4
25,20.509,70.171,7101.875,-50.375,643,163.75,255.6098798,-9.5,21.375,64.625
26,20.683,70.09,7327.111111,-52.77777778,610.5555556,161.3333333,276.6117088,-10.33333333,21.55555556,66.22222222
27,20.485,70.095,7145.375,-50.25,636.125,163.75,247.3354822,-9.125,21.375,64.875
28,20.694,70.184,7275.307692,-55.84615385,629.4615385,164.6153846,310.6173706,-13.84615385,21,66
29,18.728,70.053,5661.857143,-19.14285714,937.5714286,188.1428571,87.59861946,11.85714286,26.57142857,52.14285714
30,20.857,69.96,7590.888889,-13,587.6666667,163.3333333,168.3551617,-14.66666667,21.77777778,68.55555556
31,19.761,69.938,6558.428571,-39.28571429,749.1428571,175.8571429,52.31708002,-1.571428571,22.57142857,59.85714286
32,19.581,69.887,6426,-37.92307692,788.3076923,181.6923077,282.0468597,-1.076923077,22.69230769,58.61538462
33,19.381,69.924,6207.166667,-31.66666667,836.1666667,182.6666667,288.4234009,3.75,24,56.75
34,19.052,69.913,5930.125,-26.4,911.675,190,234.6083743,7.075,25.35,54.325
35,19.078,70.024,5889.25,-23.08333333,904.9166667,184.5833333,120.0549175,10.08333333,26.08333333,54.08333333
36,19.432,70.014,6156,-26.57142857,828.8571429,176,11.19669445,8.571428571,25.14285714,56.28571429
37,29.853,69.795,6322.5,91.3,481.2,170.2,73.98241425,10.1,32.5,59.7
38,29.894,69.866,6244.888889,87.44444444,496.6666667,173.1111111,24.03776932,6.888888889,30.88888889,59
39,18.901,69.764,5851.333333,-18.94444444,924.7777778,188.1666667,232.6943893,14.27777778,26.66666667,53.55555556
40,18.211,69.589,5646.625,16.625,886.625,194.1875,48.62424469,13.0625,25.4375,54.75
41,18.555,69.611,5803.310345,7.275862069,888.0689655,193.2413793,284.1364038,9.655172414,25.13793103,54.5862069
42,18.586,69.739,5756.178571,-5.285714286,912.6071429,195.5714286,108.9725103,8.214285714,25.07142857,54.07142857
