"itnb" "S" "rS" "E" "D" "c" "r" "TPR" "FDR" "nbSNPS" "nbADA" "s" "gamma" "envADA"
1 50 50 5 "ran" 0.5 1 0 1 1000 8 "0.19_0.27_0.14_0.17_0.26_0.16_0.16_0.28" "0.45_0.14_0.31_0.38_0.24_0.17_0.27_0.02" "BI15.BIO2.BIO1.BIO2.BI15.BIO1.BI12.BIO2"
2 50 50 5 "ran" 0.5 2 0 1 1000 14 "0.12_0.18_0.15_0.19_0.12_0.21_0.28_0.17_0.23_0.27_0.28_0.23_0.24_0.27" "0.26_0.33_0.13_0.35_0.15_0.07_0.46_0.35_0.04_0.48_0.05_0_0.3_0.15" "BI15.BI15.BIO1.BIO2.BIO1.BI12.BI15.BIO2.BIO2.BI15.BIO4.BI12.BIO2.BIO1"
3 50 50 5 "ran" 0.5 3 0 1 1000 13 "0.22_0.28_0.28_0.24_0.18_0.22_0.12_0.13_0.2_0.26_0.13_0.21_0.28" "0.43_0.31_0.49_0.33_0.04_0.18_0.5_0.42_0.15_0.38_0.05_0.22_0.18" "BIO8.BI12.BI18.BIO1.ALTI.BI12.BIO4.BI15.BIO4.BI15.BI15.BI12.BI12"
4 50 50 5 "ran" 0.5 4 0 1 1000 20 "0.17_0.18_0.13_0.26_0.27_0.21_0.12_0.13_0.25_0.23_0.27_0.12_0.26_0.24_0.13_0.23_0.2_0.12_0.18_0.17" "0.36_0.27_0_0.19_0.21_0.02_0.1_0.29_0.14_0.14_0.39_0.16_0.23_0.38_0.2_0.49_0.13_0.33_0.33_0.27" "BIO1.BI12.BIO1.BIO1.ALTI.BIO1.BIO8.BI12.BI18.BIO8.ALTI.BI15.BI12.BIO4.BIO4.BI12.BIO2.BIO2.ALTI.BIO8"
5 50 50 5 "ran" 0.5 5 0 1 1000 18 "0.16_0.24_0.23_0.19_0.24_0.21_0.22_0.13_0.24_0.11_0.27_0.28_0.28_0.27_0.21_0.29_0.13_0.12" "0.31_0.26_0.1_0.13_0.33_0.07_0.38_0.41_0_0.01_0.22_0.21_0.04_0.2_0.2_0.24_0.07_0.15" "BIO8.BI12.BIO2.BI18.BI15.BIO4.BIO4.BI18.BI18.BI12.BI15.ALTI.BI15.BIO8.BI15.ALTI.BI15.BIO8"
6 50 50 5 "ran" 0.5 6 0 1 1000 16 "0.12_0.21_0.13_0.12_0.29_0.2_0.11_0.26_0.25_0.1_0.24_0.19_0.17_0.13_0.14_0.14" "0.28_0.35_0.05_0.05_0.43_0.29_0.37_0.25_0.45_0.06_0.16_0.25_0.06_0.41_0.1_0.22" "BIO1.BI12.BIO1.BIO2.BIO4.BIO2.BI12.BIO1.BIO8.BI12.ALTI.BIO2.ALTI.BI12.ALTI.BIO2"
7 50 50 5 "ran" 0.5 7 0 1 1000 11 "0.13_0.11_0.21_0.29_0.23_0.29_0.21_0.16_0.19_0.18_0.29" "0.48_0_0.23_0.43_0.04_0.04_0.27_0.25_0.18_0.48_0.11" "BIO4.BI15.BIO1.BIO4.BI15.BI12.BIO4.BIO1.BI18.ALTI.BI18"
8 50 50 5 "ran" 0.5 8 0 1 1000 5 "0.21_0.14_0.12_0.17_0.14" "0.38_0.39_0.22_0.18_0.02" "BIO1.BI15.BI15.BIO2.BIO1"
9 50 50 5 "ran" 0.5 9 0 1 1000 5 "0.16_0.25_0.21_0.27_0.3" "0.5_0.3_0.11_0.36_0.3" "BI12.BIO4.BIO8.BI15.BIO8"
10 50 50 5 "ran" 0.5 10 0 1 1000 19 "0.21_0.23_0.29_0.29_0.15_0.19_0.27_0.2_0.13_0.29_0.14_0.28_0.2_0.22_0.2_0.24_0.26_0.25_0.24" "0.5_0.22_0.44_0_0.04_0.03_0.45_0_0.29_0.5_0.06_0.25_0.31_0.17_0.26_0.16_0.04_0.35_0.08" "ALTI.BIO1.BI12.BIO2.BIO8.BI12.BI18.ALTI.ALTI.BI15.ALTI.BIO1.BI18.BIO2.ALTI.ALTI.BIO8.BI15.BIO8"
11 50 50 5 "ran" 0.5 11 0 1 1000 5 "0.18_0.23_0.23_0.22_0.12" "0.31_0.39_0.36_0.44_0.41" "BIO2.BIO8.BIO1.BIO8.BIO2"
12 50 50 5 "ran" 0.5 12 0 1 1000 6 "0.17_0.11_0.17_0.22_0.14_0.14" "0.14_0.3_0.5_0.35_0.19_0.18" "BIO4.BIO8.BIO1.BIO8.BI15.BI18"
13 50 50 5 "ran" 0.5 13 0 1 1000 15 "0.27_0.22_0.11_0.29_0.29_0.19_0.22_0.18_0.24_0.16_0.14_0.13_0.3_0.28_0.25" "0.27_0.32_0.3_0.49_0.22_0.28_0.14_0_0.12_0_0.37_0.01_0.05_0.2_0.17" "ALTI.BIO1.BI12.BIO4.BI18.ALTI.ALTI.BI18.BIO4.BIO4.BIO1.BIO1.BIO1.BIO8.BI18"
14 50 50 5 "ran" 0.5 14 0 1 1000 6 "0.11_0.16_0.14_0.28_0.11_0.29" "0.23_0.41_0.37_0.5_0.07_0.22" "BI12.BI18.BIO2.BIO2.BIO8.BI12"
